Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C8",0805,4,100nF,C5137467
C2,0805,1,10uF,C6119888
"C3, C4",1210,2,22uF,C6119895
C7,CP_EIA-6032-28_Kemet-C,1,330uF,C11377
D1,D_SOD-123F,1,D,C3008061
D2,D_SOD-123F,1,D_Zener,C6067447
F1,0805,1,Fuse,C25838740
J1,TerminalBlock_1x03_P6.35mm_Horizontal_DIBO_DB910-6.35-3P-GN-S_C395873,1,Conn_01x03,C395873
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,1x02_Jumper,C5383111
"J4, J5",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08,
L1,1210,1,4.7uH,C5331021
R1,0805,1,10k,C2930231
R2,0805,1,330R,C2918550
U1,TSOT-23-6,1,AP63205WU,C2071056
U2,SOT-23-5,1,74LVC1G07,C48391414
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO7321C,C187919
