Designator,Mid X,Mid Y,Rotation,Layer
C1,100.0,-56.5,180.0,bottom
C2,97.0,-60.0,270.0,bottom
C3,100.0,-64.0,0.0,bottom
C4,100.0,-68.0,0.0,bottom
C5,117.0,-64.0,180.0,bottom
C6,121.0,-64.0,0.0,bottom
C7,125.0,-60.0,270.0,bottom
C8,112.0,-58.0,180.0,bottom
D1,99.5,-53.5,0.0,bottom
D2,107.25,-62.25,270.0,bottom
F1,100.0,-51.0,0.0,bottom
J1,93.0,-60.0,270.0,top
J2,110.0,-66.73,0.0,top
J3,110.0,-53.27,180.0,top
J4,123.89,-52.38,270.0,top
J5,123.89,-67.62,90.0,top
L1,104.0,-60.0,270.0,bottom
R1,108.0,-58.5,0.0,bottom
R2,104.0,-56.0,180.0,bottom
U1,100.0,-60.0,270.0,bottom
U2,112.0,-62.0,270.0,bottom
U3,119.0,-60.0,90.0,bottom
